Code,Population,Chinese,English,Hindi,Spanish,Arabic,Portuguese,Russian,French,Malay,Bengali,Japanese,Javanese,Turkish,German,Swahili,Hausa,Vietnamese,Persian(Farsi),Italian,Korean,Dutch,Polish,Ukrainian,Uzbek,Romanian,Pashto,Nepali,Khmer,Greek,Swedish,Quechua,Czech,Hungarian,Bulgarian,Danish,Croatian,Finnish,Fulfulde,Tamil,Albanian,Armenian,Bosnian,Lingala,Fang
LKA,5655538.84,0,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642857143,0,0,0,0,0
LTU,3717325.57,0,0.268907563,0,0,0,0,0.731092437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVA,2860444.8,0,0.288888889,0,0,0,0,0.711111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,35002410.12,0,0,0,0,0.694444444,0,0,0.305555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDA,4043636.19,0,0,0,0,0,0,0.232323232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767676768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDG,4230328,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,122011698.6,0,0.048076923,0,0.951923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MHL,51376.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKD,1905079.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72826087,0,0,0,0,0,0.27173913,0,0,0,0
MLI,4070272.95,0,0,0,0,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407407407,0,0,0,0,0,0
